"name","hp","atk","def","spa","spd","spe","weight","height","type1","type2","ability1","ability2","ability3","ability4","Normal_def","Fighting_def","Flying_def","Poison_def","Ground_def","Rock_def","Bug_def","Ghost_def","Steel_def","Fire_def","Water_def","Grass_def","Electric_def","Psychic_def","Ice_def","Dragon_def","Dark_def","Fairy_def"
"Ambipom",75,100,66,60,66,115,20.3,1.2,"Normal","None","Pickup","Skill Link","Technician","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Amoonguss",114,85,70,85,80,30,10.5,0.6,"Grass","Poison","Effect Spore","Regenerator","None","None",4,2,8,4,4,4,4,4,4,8,2,1,2,8,8,4,4,2
"Ampharos",90,75,85,115,90,55,61.5,1.4,"Electric","None","Plus","Static","None","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Anorith",45,95,50,40,50,75,12.5,0.7,"Rock","Bug","Battle Armor","Swift Swim","None","None",2,4,4,2,4,8,4,4,8,4,8,4,4,4,4,4,4,4
"Araquanid",68,70,92,50,132,42,82,1.8,"Water","Bug","Water Absorb","Water Bubble","None","None",4,2,8,4,2,8,4,4,2,4,2,4,8,4,2,4,4,4
"Arbok",60,95,69,65,79,80,65,3.5,"Poison","None","Intimidate","Shed Skin","Unnerve","None",4,2,4,2,8,4,2,4,4,4,4,2,4,8,4,4,4,2
"Arcanine",90,110,80,100,80,95,155,1.9,"Fire","None","Flash Fire","Intimidate","Justified","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Arceus",120,120,120,120,120,120,320,3.2,"Normal","None","Multitype","None","None","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Arceus-Bug",120,120,120,120,120,120,320,3.2,"Bug","None","Multitype","None","None","None",4,2,8,4,2,8,4,4,4,8,4,2,4,4,4,4,4,4
"Arceus-Dark",120,120,120,120,120,120,320,3.2,"Dark","None","Multitype","None","None","None",4,8,4,4,4,4,8,2,4,4,4,4,4,0,4,4,2,8
"Arceus-Dragon",120,120,120,120,120,120,320,3.2,"Dragon","None","Multitype","None","None","None",4,4,4,4,4,4,4,4,4,2,2,2,2,4,8,8,4,8
"Arceus-Electric",120,120,120,120,120,120,320,3.2,"Electric","None","Multitype","None","None","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Arceus-Fairy",120,120,120,120,120,120,320,3.2,"Fairy","None","Multitype","None","None","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Arceus-Fighting",120,120,120,120,120,120,320,3.2,"Fighting","None","Multitype","None","None","None",4,4,8,4,4,2,2,4,4,4,4,4,4,8,4,4,2,8
"Arceus-Fire",120,120,120,120,120,120,320,3.2,"Fire","None","Multitype","None","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Arceus-Flying",120,120,120,120,120,120,320,3.2,"Flying","None","Multitype","None","None","None",4,2,4,4,0,8,2,4,4,4,4,2,8,4,8,4,4,4
"Arceus-Ghost",120,120,120,120,120,120,320,3.2,"Ghost","None","Multitype","None","None","None",0,0,4,2,4,4,2,8,4,4,4,4,4,4,4,4,8,4
"Arceus-Grass",120,120,120,120,120,120,320,3.2,"Grass","None","Multitype","None","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Arceus-Ground",120,120,120,120,120,120,320,3.2,"Ground","None","Multitype","None","None","None",4,4,4,2,4,2,4,4,4,4,8,8,0,4,8,4,4,4
"Arceus-Ice",120,120,120,120,120,120,320,3.2,"Ice","None","Multitype","None","None","None",4,8,4,4,4,8,4,4,8,8,4,4,4,4,2,4,4,4
"Arceus-Poison",120,120,120,120,120,120,320,3.2,"Poison","None","Multitype","None","None","None",4,2,4,2,8,4,2,4,4,4,4,2,4,8,4,4,4,2
"Arceus-Psychic",120,120,120,120,120,120,320,3.2,"Psychic","None","Multitype","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Arceus-Rock",120,120,120,120,120,120,320,3.2,"Rock","None","Multitype","None","None","None",2,8,2,2,8,4,4,4,8,2,8,8,4,4,4,4,4,4
"Arceus-Steel",120,120,120,120,120,120,320,3.2,"Steel","None","Multitype","None","None","None",2,8,2,0,8,2,2,4,2,8,4,2,4,2,2,2,4,2
"Arceus-Water",120,120,120,120,120,120,320,3.2,"Water","None","Multitype","None","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Archen",55,112,45,74,45,70,9.5,0.5,"Rock","Flying","Defeatist","None","None","None",2,4,2,2,0,8,2,4,8,2,8,4,8,4,8,4,4,4
"Archeops",75,140,65,112,65,110,32,1.4,"Rock","Flying","Defeatist","None","None","None",2,4,2,2,0,8,2,4,8,2,8,4,8,4,8,4,4,4
"Ariados",70,90,70,60,70,40,33.5,1.1,"Bug","Poison","Insomnia","Sniper","Swarm","None",4,1,8,2,4,8,2,4,4,8,4,1,4,8,4,4,4,2
"Armaldo",75,125,100,70,80,45,68.2,1.5,"Rock","Bug","Battle Armor","Swift Swim","None","None",2,4,4,2,4,8,4,4,8,4,8,4,4,4,4,4,4,4
"Aromatisse",101,72,72,99,89,29,15.5,0.8,"Fairy","None","Aroma Veil","Healer","None","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Aron",50,70,100,40,40,30,60,0.4,"Steel","Rock","Heavy Metal","Rock Head","Sturdy","None",1,16,1,0,16,2,2,4,4,4,8,4,4,2,2,2,4,2
"Articuno",90,85,100,95,125,85,55.4,1.7,"Ice","Flying","Pressure","Snow Cloak","None","None",4,4,4,4,0,16,2,4,8,8,4,2,8,4,4,4,4,4
"Audino",103,60,86,60,86,50,31,1.1,"Normal","None","Healer","Klutz","Regenerator","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Aurorus",123,77,72,99,92,58,225,2.7,"Rock","Ice","Refrigerate","Snow Warning","None","None",2,16,2,2,8,8,4,4,16,4,8,8,4,4,2,4,4,4
"Avalugg",95,117,184,44,46,28,505,2,"Ice","None","Ice Body","Own Tempo","Sturdy","None",4,8,4,4,4,8,4,4,8,8,4,4,4,4,2,4,4,4
"Axew",46,87,60,30,40,57,18,0.6,"Dragon","None","Mold Breaker","Rivalry","Unnerve","None",4,4,4,4,4,4,4,4,4,2,2,2,2,4,8,8,4,8
"Azelf",75,125,70,125,70,115,0.3,0.3,"Psychic","None","Levitate","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Azumarill",100,50,80,60,80,50,28.5,0.8,"Water","Fairy","Huge Power","Sap Sipper","Thick Fat","None",4,2,4,8,4,4,2,4,4,2,2,8,8,4,2,0,2,4
"Azurill",50,20,40,20,40,20,2,0.2,"Normal","Fairy","Huge Power","Sap Sipper","Thick Fat","None",4,4,4,8,4,4,2,0,8,4,4,4,4,4,4,0,2,4
"Bagon",45,75,60,40,30,50,42.1,0.6,"Dragon","None","Rock Head","Sheer Force","None","None",4,4,4,4,4,4,4,4,4,2,2,2,2,4,8,8,4,8
"Baltoy",40,40,55,40,70,55,21.5,0.5,"Ground","Psychic","Levitate","None","None","None",4,2,4,2,4,2,8,8,4,4,8,8,0,2,8,4,8,4
"Banette",64,115,65,83,63,65,12.5,1.1,"Ghost","None","Cursed Body","Frisk","Insomnia","None",0,0,4,2,4,4,2,8,4,4,4,4,4,4,4,4,8,4
"Barbaracle",72,105,115,54,86,68,96,1.3,"Rock","Water","Pickpocket","Sniper","Tough Claws","None",2,8,2,2,8,4,4,4,4,1,4,16,8,4,2,4,4,4
"Barboach",50,48,43,46,41,60,1.9,0.4,"Water","Ground","Anticipation","Hydration","Oblivious","None",4,4,4,2,4,2,4,4,2,2,4,16,0,4,4,4,4,4
"Basculin",70,92,65,80,55,98,18,1,"Water","None","Adaptability","Mold Breaker","Reckless","Rock Head",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Bastiodon",60,52,168,47,138,30,149.5,1.3,"Rock","Steel","Soundproof","Sturdy","None","None",1,16,1,0,16,2,2,4,4,4,8,4,4,2,2,2,4,2
"Bayleef",60,62,80,63,80,60,15.8,1.2,"Grass","None","Leaf Guard","Overgrow","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Beartic",95,130,80,70,80,50,260,2.6,"Ice","None","Slush Rush","Snow Cloak","Swift Swim","None",4,8,4,4,4,8,4,4,8,8,4,4,4,4,2,4,4,4
"Beautifly",60,70,50,100,50,65,28.4,1,"Bug","Flying","Rivalry","Swarm","None","None",4,1,8,4,0,16,2,4,4,8,4,1,8,4,8,4,4,4
"Beedrill",65,90,40,45,80,75,29.5,1,"Bug","Poison","Sniper","Swarm","None","None",4,1,8,2,4,8,2,4,4,8,4,1,4,8,4,4,4,2
"Beheeyem",75,75,75,125,95,40,34.5,1,"Psychic","None","Analytic","Synchronize","Telepathy","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Beldum",40,55,80,35,60,30,95.2,0.6,"Steel","Psychic","Clear Body","Light Metal","None","None",2,4,2,0,8,2,4,8,2,8,4,2,4,1,2,2,8,2
"Bellossom",75,80,95,90,100,50,5.8,0.4,"Grass","None","Chlorophyll","Healer","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Bellsprout",50,75,35,70,30,40,4,0.7,"Grass","Poison","Chlorophyll","Gluttony","None","None",4,2,8,4,4,4,4,4,4,8,2,1,2,8,8,4,4,2
"Bergmite",56,69,86,32,36,28,99.5,1,"Ice","None","Ice Body","Own Tempo","Sturdy","None",4,8,4,4,4,8,4,4,8,8,4,4,4,4,2,4,4,4
"Bewear",120,125,80,55,60,60,135,2.1,"Normal","Fighting","Fluffy","Klutz","Unnerve","None",4,8,8,4,4,2,2,0,4,4,4,4,4,8,4,4,2,8
"Bibarel",79,85,60,55,60,71,31.5,1,"Normal","Water","Moody","Simple","Unaware","None",4,8,4,4,4,4,4,0,2,2,2,8,8,4,2,4,4,4
"Bidoof",59,45,40,35,40,31,20,0.5,"Normal","None","Moody","Simple","Unaware","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Binacle",42,52,67,39,56,50,31,0.5,"Rock","Water","Pickpocket","Sniper","Tough Claws","None",2,8,2,2,8,4,4,4,4,1,4,16,8,4,2,4,4,4
"Bisharp",65,125,100,60,70,70,70,1.6,"Dark","Steel","Defiant","Inner Focus","Pressure","None",2,16,2,0,8,2,4,2,2,8,4,2,4,0,2,2,2,4
"Blacephalon",53,127,53,151,79,107,13,1.8,"Fire","Ghost","Beast Boost","None","None","None",0,0,4,2,8,8,1,8,2,2,8,2,4,4,2,4,8,2
"Blastoise",79,83,100,85,105,78,85.5,1.6,"Water","None","Rain Dish","Torrent","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Blaziken",80,120,70,110,70,80,52,1.9,"Fire","Fighting","Blaze","Speed Boost","None","None",4,4,8,4,8,4,1,4,2,2,8,2,4,8,2,4,2,4
"Blissey",255,10,10,75,135,55,46.8,1.5,"Normal","None","Healer","Natural Cure","Serene Grace","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Blitzle",45,60,32,50,32,76,29.8,0.8,"Electric","None","Lightning Rod","Motor Drive","Sap Sipper","None",4,4,2,4,8,4,4,4,2,4,4,4,2,4,4,4,4,4
"Boldore",70,105,105,50,40,20,102,0.9,"Rock","None","Sand Force","Sturdy","Weak Armor","None",2,8,2,2,8,4,4,4,8,2,8,8,4,4,4,4,4,4
"Bonsly",50,80,95,10,45,10,15,0.5,"Rock","None","Rattled","Rock Head","Sturdy","None",2,8,2,2,8,4,4,4,8,2,8,8,4,4,4,4,4,4
"Bouffalant",95,110,95,40,95,55,94.6,1.6,"Normal","None","Reckless","Sap Sipper","Soundproof","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Bounsweet",42,30,38,30,38,32,3.2,0.3,"Grass","None","Leaf Guard","Oblivious","Sweet Veil","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Braixen",59,59,58,90,70,73,14.5,1,"Fire","None","Blaze","Magician","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Braviary",100,123,75,57,75,80,41,1.5,"Normal","Flying","Defiant","Keen Eye","Sheer Force","None",4,4,4,4,0,8,2,0,4,4,4,2,8,4,8,4,4,4
"Breloom",60,130,80,60,60,70,39.2,1.2,"Grass","Fighting","Effect Spore","Poison Heal","Technician","None",4,4,16,8,2,2,4,4,4,8,2,2,2,8,8,4,2,8
"Brionne",60,69,69,91,81,50,17.5,0.6,"Water","None","Liquid Voice","Torrent","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Bronzong",67,89,116,79,116,33,187,1.3,"Steel","Psychic","Heatproof","Heavy Metal","Levitate","None",2,4,2,0,8,2,4,8,2,8,4,2,4,1,2,2,8,2
"Bronzor",57,24,86,24,86,23,60.5,0.5,"Steel","Psychic","Heatproof","Heavy Metal","Levitate","None",2,4,2,0,8,2,4,8,2,8,4,2,4,1,2,2,8,2
"Bruxish",68,105,70,70,70,92,19,0.9,"Water","Psychic","Dazzling","Strong Jaw","Wonder Skin","None",4,2,4,4,4,4,8,8,2,2,2,8,8,2,2,4,8,4
"Budew",40,30,35,50,70,55,1.2,0.2,"Grass","Poison","Leaf Guard","Natural Cure","Poison Point","None",4,2,8,4,4,4,4,4,4,8,2,1,2,8,8,4,4,2
"Buizel",55,65,35,60,30,85,29.5,0.7,"Water","None","Swift Swim","Water Veil","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Bulbasaur",45,49,49,65,65,45,6.9,0.7,"Grass","Poison","Chlorophyll","Overgrow","None","None",4,2,8,4,4,4,4,4,4,8,2,1,2,8,8,4,4,2
"Buneary",55,66,44,44,56,85,5.5,0.4,"Normal","None","Klutz","Limber","Run Away","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Bunnelby",38,36,38,32,36,57,5,0.4,"Normal","None","Cheek Pouch","Huge Power","Pickup","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Burmy",40,29,45,29,45,36,3.4,0.2,"Bug","None","Overcoat","Shed Skin","None","None",4,2,8,4,2,8,4,4,4,8,4,2,4,4,4,4,4,4
"Butterfree",60,45,50,90,80,70,32,1.1,"Bug","Flying","Compound Eyes","Tinted Lens","None","None",4,1,8,4,0,16,2,4,4,8,4,1,8,4,8,4,4,4
"Buzzwole",107,139,139,53,53,79,333.6,2.4,"Bug","Fighting","Beast Boost","None","None","None",4,2,16,4,2,4,2,4,4,8,4,2,4,8,4,4,2,8
"Cacnea",50,85,40,85,40,35,51.3,0.4,"Grass","None","Sand Veil","Water Absorb","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Cacturne",70,115,60,115,60,55,77.4,1.3,"Grass","Dark","Sand Veil","Water Absorb","None","None",4,8,8,8,2,4,16,2,4,8,2,2,2,0,8,4,2,8
"Camerupt",70,100,70,105,75,40,220,1.9,"Fire","Ground","Anger Point","Magma Armor","Solid Rock","None",4,4,4,2,8,4,2,4,2,2,16,4,0,4,4,4,4,2
"Carbink",50,50,150,50,150,50,5.7,0.3,"Rock","Fairy","Clear Body","Sturdy","None","None",2,4,2,4,8,4,2,4,16,2,8,8,4,4,4,0,2,4
"Carnivine",74,100,72,90,72,46,27,1.4,"Grass","None","Levitate","None","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Carracosta",74,108,133,83,65,32,81,1.2,"Water","Rock","Solid Rock","Sturdy","Swift Swim","None",2,8,2,2,8,4,4,4,4,1,4,16,8,4,2,4,4,4
"Carvanha",45,90,20,65,20,65,20.8,0.8,"Water","Dark","Rough Skin","Speed Boost","None","None",4,8,4,4,4,4,8,2,2,2,2,8,8,0,2,4,2,8
"Cascoon",50,35,55,25,25,15,11.5,0.7,"Bug","None","Shed Skin","None","None","None",4,2,8,4,2,8,4,4,4,8,4,2,4,4,4,4,4,4
"Castform",70,70,70,70,70,70,0.8,0.3,"Normal","None","Forecast","None","None","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Caterpie",45,30,35,20,20,45,2.9,0.3,"Bug","None","Run Away","Shield Dust","None","None",4,2,8,4,2,8,4,4,4,8,4,2,4,4,4,4,4,4
"Celebi",100,100,100,100,100,100,5,0.6,"Psychic","Grass","Natural Cure","None","None","None",4,2,8,8,2,4,16,8,4,8,2,2,2,2,8,4,8,4
"Celesteela",97,101,103,107,101,61,999.9,9.2,"Steel","Flying","Beast Boost","None","None","None",2,4,2,0,0,4,1,4,2,8,4,1,8,2,4,2,4,2
"Chandelure",60,55,90,145,90,80,34.3,1,"Ghost","Fire","Flame Body","Flash Fire","Infiltrator","None",0,0,4,2,8,8,1,8,2,2,8,2,4,4,2,4,8,2
"Chansey",250,5,5,35,105,50,34.6,1.1,"Normal","None","Healer","Natural Cure","Serene Grace","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Charizard",78,84,78,109,85,100,90.5,1.7,"Fire","Flying","Blaze","Solar Power","None","None",4,2,4,4,0,16,1,4,2,2,8,1,8,4,4,4,4,2
"Charjabug",57,82,95,55,75,36,10.5,0.5,"Bug","Electric","Battery","None","None","None",4,2,4,4,4,8,4,4,2,8,4,2,2,4,4,4,4,4
"Charmander",39,52,43,60,50,65,8.5,0.6,"Fire","None","Blaze","Solar Power","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Charmeleon",58,64,58,80,65,80,19,1.1,"Fire","None","Blaze","Solar Power","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Chatot",76,65,45,92,42,91,1.9,0.5,"Normal","Flying","Big Pecks","Keen Eye","Tangled Feet","None",4,4,4,4,0,8,2,0,4,4,4,2,8,4,8,4,4,4
"Cherrim",70,60,70,87,78,85,9.3,0.5,"Grass","None","Flower Gift","None","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Cherubi",45,35,45,62,53,35,3.3,0.4,"Grass","None","Chlorophyll","None","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Chesnaught",88,107,122,74,75,64,90,1.6,"Grass","Fighting","Bulletproof","Overgrow","None","None",4,4,16,8,2,2,4,4,4,8,2,2,2,8,8,4,2,8
"Chespin",56,61,65,48,45,38,9,0.4,"Grass","None","Bulletproof","Overgrow","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Chikorita",45,49,65,49,65,45,6.4,0.9,"Grass","None","Leaf Guard","Overgrow","None","None",4,4,8,8,2,4,8,4,4,8,2,2,2,4,8,4,4,4
"Chimchar",44,58,44,58,44,61,6.2,0.5,"Fire","None","Blaze","Iron Fist","None","None",4,4,4,4,8,8,2,4,2,2,8,2,4,4,2,4,4,2
"Chimecho",75,50,80,95,90,65,1,0.6,"Psychic","None","Levitate","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Chinchou",75,38,38,56,56,67,12,0.5,"Water","Electric","Illuminate","Volt Absorb","Water Absorb","None",4,4,2,4,8,4,4,4,1,2,2,8,4,4,2,4,4,4
"Chingling",45,30,50,65,50,45,0.6,0.2,"Psychic","None","Levitate","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Cinccino",75,95,60,65,60,115,7.5,0.5,"Normal","None","Cute Charm","Skill Link","Technician","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Clamperl",35,64,85,74,55,32,52.5,0.4,"Water","None","Rattled","Shell Armor","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Clauncher",50,53,62,58,63,44,8.3,0.5,"Water","None","Mega Launcher","None","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Clawitzer",71,73,88,120,89,59,35.3,1.3,"Water","None","Mega Launcher","None","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Claydol",60,70,105,70,120,75,108,1.5,"Ground","Psychic","Levitate","None","None","None",4,2,4,2,4,2,8,8,4,4,8,8,0,2,8,4,8,4
"Clefable",95,70,73,95,90,60,40,1.3,"Fairy","None","Cute Charm","Magic Guard","Unaware","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Clefairy",70,45,48,60,65,35,7.5,0.6,"Fairy","None","Cute Charm","Friend Guard","Magic Guard","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Cleffa",50,25,28,45,55,15,3,0.3,"Fairy","None","Cute Charm","Friend Guard","Magic Guard","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Cloyster",50,95,180,85,45,70,132.5,1.5,"Water","Ice","Overcoat","Shell Armor","Skill Link","None",4,8,4,4,4,8,4,4,4,4,2,8,8,4,1,4,4,4
"Cobalion",91,90,129,90,72,108,250,2.1,"Steel","Fighting","Justified","None","None","None",2,8,4,0,8,1,1,4,2,8,4,2,4,4,2,2,2,4
"Cofagrigus",58,50,145,95,105,30,76.5,1.7,"Ghost","None","Mummy","None","None","None",0,0,4,2,4,4,2,8,4,4,4,4,4,4,4,4,8,4
"Combee",30,30,42,30,42,70,5.5,0.3,"Bug","Flying","Honey Gather","Hustle","None","None",4,1,8,4,0,16,2,4,4,8,4,1,8,4,8,4,4,4
"Combusken",60,85,60,85,60,55,19.5,0.9,"Fire","Fighting","Blaze","Speed Boost","None","None",4,4,8,4,8,4,1,4,2,2,8,2,4,8,2,4,2,4
"Comfey",51,52,90,82,110,100,0.3,0.1,"Fairy","None","Flower Veil","Natural Cure","Triage","None",4,2,4,8,4,4,2,4,8,4,4,4,4,4,4,0,2,4
"Conkeldurr",105,140,95,55,65,45,87,1.4,"Fighting","None","Guts","Iron Fist","Sheer Force","None",4,4,8,4,4,2,2,4,4,4,4,4,4,8,4,4,2,8
"Corphish",43,80,65,50,35,35,11.5,0.6,"Water","None","Adaptability","Hyper Cutter","Shell Armor","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Corsola",65,55,95,65,95,35,5,0.6,"Water","Rock","Hustle","Natural Cure","Regenerator","None",2,8,2,2,8,4,4,4,4,1,4,16,8,4,2,4,4,4
"Cosmoem",43,29,131,29,131,37,999.9,0.1,"Psychic","None","Sturdy","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Cosmog",43,29,31,29,31,37,0.1,0.2,"Psychic","None","Unaware","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Cottonee",40,27,60,37,50,66,0.6,0.3,"Grass","Fairy","Chlorophyll","Infiltrator","Prankster","None",4,2,8,16,2,4,4,4,8,8,2,2,2,4,8,0,2,4
"Crabominable",97,132,77,62,67,43,180,1.7,"Fighting","Ice","Anger Point","Hyper Cutter","Iron Fist","None",4,8,8,4,4,4,2,4,8,8,4,4,4,8,2,4,2,8
"Crabrawler",47,82,57,42,47,63,7,0.6,"Fighting","None","Anger Point","Hyper Cutter","Iron Fist","None",4,4,8,4,4,2,2,4,4,4,4,4,4,8,4,4,2,8
"Cradily",86,81,97,81,107,43,60.4,1.5,"Rock","Grass","Storm Drain","Suction Cups","None","None",2,8,4,4,4,4,8,4,8,4,4,4,2,4,8,4,4,4
"Cranidos",67,125,40,30,30,58,31.5,0.9,"Rock","None","Mold Breaker","Sheer Force","None","None",2,8,2,2,8,4,4,4,8,2,8,8,4,4,4,4,4,4
"Crawdaunt",63,120,85,90,55,55,32.8,1.1,"Water","Dark","Adaptability","Hyper Cutter","Shell Armor","None",4,8,4,4,4,4,8,2,2,2,2,8,8,0,2,4,2,8
"Cresselia",120,70,120,75,130,85,85.6,1.5,"Psychic","None","Levitate","None","None","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Croagunk",48,61,40,61,40,50,23,0.7,"Poison","Fighting","Anticipation","Dry Skin","Poison Touch","None",4,2,8,2,8,2,1,4,4,4,4,2,4,16,4,4,2,4
"Crobat",85,90,80,70,80,130,75,1.8,"Poison","Flying","Infiltrator","Inner Focus","None","None",4,1,4,2,0,8,1,4,4,4,4,1,8,8,8,4,4,2
"Croconaw",65,80,80,59,63,58,25,1.1,"Water","None","Sheer Force","Torrent","None","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Crustle",70,105,125,65,75,45,200,1.4,"Bug","Rock","Shell Armor","Sturdy","Weak Armor","None",2,4,4,2,4,8,4,4,8,4,8,4,4,4,4,4,4,4
"Cryogonal",80,50,50,95,135,105,148,1.1,"Ice","None","Levitate","None","None","None",4,8,4,4,4,8,4,4,8,8,4,4,4,4,2,4,4,4
"Cubchoo",55,70,40,60,40,40,8.5,0.5,"Ice","None","Rattled","Slush Rush","Snow Cloak","None",4,8,4,4,4,8,4,4,8,8,4,4,4,4,2,4,4,4
